0.000000e+00	0.000000e+00	1.420208e-18	0.000000e+00	5.999634e-01	3.878962e-01	0.000000e+00	-nan	-3.370102e-05	-nan
0.000000e+00	0.000000e+00	1.462098e-18	0.000000e+00	5.999634e-01	3.846823e-01	0.000000e+00	-nan	-3.496626e-05	-nan
4.785221e+04	8.802852e-04	6.768140e-04	3.167217e-04	5.999634e-01	2.176470e-01	7.746862e-04	5.747803e-04	1.369194e-03	2.718661e-03
9.560882e+04	1.647479e-03	9.149461e-04	5.664871e-04	5.999634e-01	1.587430e-01	1.737882e-03	7.733358e-04	1.542336e-03	4.053553e-03
1.434132e+05	2.063068e-03	1.099576e-03	6.236761e-04	5.999634e-01	1.473635e-01	4.393816e-03	8.819908e-04	3.074712e-03	8.350519e-03
1.912654e+05	1.773650e-03	1.089719e-03	6.851230e-04	5.999634e-01	1.259715e-01	2.860917e-03	9.535717e-04	4.588413e-03	8.402902e-03
2.390698e+05	1.916441e-03	9.357327e-04	6.371395e-04	5.999634e-01	1.354767e-01	2.260791e-03	9.576680e-04	1.918250e-04	3.410284e-03
2.868743e+05	1.897232e-03	1.086208e-03	5.608603e-04	5.999634e-01	1.359993e-01	4.389305e-03	9.511392e-04	7.700650e-04	6.110509e-03
3.346309e+05	1.670353e-03	9.297517e-04	6.263017e-04	5.999634e-01	1.433667e-01	9.096751e-04	9.633381e-04	2.537747e-03	4.410760e-03
3.824353e+05	1.905552e-03	9.687686e-04	6.474927e-04	5.999634e-01	1.346956e-01	8.194148e-04	9.613409e-04	2.457424e-03	4.238180e-03
4.302397e+05	1.937548e-03	1.088717e-03	6.419037e-04	5.999634e-01	1.428270e-01	2.095270e-03	9.673288e-04	2.153087e-03	5.215685e-03
