0.000000e+00	0.000000e+00	1.462913e-18	0.000000e+00	8.999811e-01	5.804030e-01	0.000000e+00	-nan	7.510286e-05	-nan
4.785221e+04	1.500240e-03	1.036099e-03	3.638198e-04	8.999811e-01	2.449411e-01	2.067485e-03	1.131666e-03	4.498317e-03	7.697468e-03
9.560882e+04	2.570304e-03	1.458922e-03	7.662965e-04	8.999811e-01	1.705802e-01	7.247748e-03	1.656161e-03	5.771782e-03	1.467569e-02
1.434132e+05	2.797826e-03	1.992262e-03	8.688716e-04	8.999811e-01	1.439762e-01	1.780227e-03	1.924910e-03	5.970222e-03	9.675358e-03
1.912654e+05	5.262007e-03	2.924664e-03	9.750703e-04	8.999811e-01	1.488358e-01	4.035508e-02	2.201766e-03	6.378451e-04	4.319470e-02
2.390698e+05	3.729258e-03	2.073413e-03	1.496601e-03	8.999811e-01	1.057567e-01	2.099080e-03	2.165935e-03	5.253604e-04	4.790375e-03
2.868743e+05	3.362666e-03	2.038101e-03	1.793708e-03	8.999811e-01	1.028873e-01	3.184344e-03	1.674643e-03	-9.410099e-03	-4.551112e-03
3.346309e+05	3.199354e-03	1.951491e-03	1.807589e-03	8.999811e-01	1.042770e-01	3.403016e-03	1.230510e-03	1.311171e-02	1.774523e-02
3.824353e+05	3.134113e-03	2.046563e-03	1.803094e-03	8.999811e-01	9.723314e-02	3.051677e-03	8.782531e-04	1.356466e-02	1.749459e-02
4.302397e+05	2.977991e-03	2.114819e-03	1.812012e-03	8.999811e-01	8.969638e-02	2.881362e-03	6.567681e-04	-9.205363e-03	-5.667232e-03
