0.000000e+00	0.000000e+00	1.442697e-18	0.000000e+00	4.923053e-01	3.158364e-01	0.000000e+00	-nan	8.932593e-05	-nan
4.785221e+04	3.195678e-03	1.516320e-03	1.446704e-03	4.028292e-01	7.113496e-02	4.936253e-03	2.360386e-04	nan	nan
9.560882e+04	2.765774e-03	1.612153e-03	1.513232e-03	3.634649e-01	6.355709e-02	4.605289e-03	2.164633e-04	nan	nan
1.434132e+05	2.440674e-03	1.411290e-03	1.287655e-03	3.417318e-01	7.002592e-02	3.357704e-03	2.228363e-04	1.437760e-03	5.018301e-03
1.912654e+05	2.454631e-03	1.402967e-03	1.166095e-03	3.276988e-01	7.281316e-02	4.747503e-03	2.340844e-04	-1.013744e-04	4.880213e-03
2.390698e+05	2.537233e-03	1.516637e-03	1.106734e-03	3.133060e-01	7.898914e-02	4.136764e-03	2.356530e-04	5.432617e-04	4.915678e-03
2.868743e+05	2.511337e-03	1.397065e-03	1.213268e-03	2.933720e-01	6.676523e-02	2.225254e-03	2.287424e-04	1.227484e-03	3.681480e-03
3.346309e+05	2.458020e-03	1.381827e-03	1.216892e-03	2.759567e-01	6.002327e-02	1.648127e-03	2.212417e-04	nan	nan
3.824353e+05	2.565145e-03	1.449819e-03	1.199692e-03	2.645864e-01	6.106156e-02	2.556440e-03	2.151726e-04	4.104732e-04	3.182086e-03
4.302397e+05	2.389200e-03	1.370742e-03	1.241249e-03	2.524245e-01	5.790123e-02	1.951913e-03	2.088249e-04	-1.533805e-03	6.269331e-04
